Marca,Tamanho,Tecnologia,Tela,Entradas,Dominio,arquivo,title
"     Marca    LG         Referência    43UM7300PSA

         Modelo    43UM7300PSA     ","       43""

     ","       LED 
     ",     Resolução (Pixels)    3840x2160     ,"       - 03 entradas HDMI 2.0
- 02 entradas USB
- 01 entrada RF para TV aberta
- 01 entrada RF para TV a Cabo
- 01 entrada AV/vídeo componente
- 01 saída digital óptica
- 01 entrada LAN RJ45

     ",Magazine Luiza,416.html,Smart TV 4K OLED 55” LG OLED55B9PSB Wi-Fi  - HDR Inteligência Artificial + Smart TV 4K LED 43” - Smart TV - Magazine Luiza
"     Marca     Samsung         Referência    QN75Q800TAGXZD

         Modelo    75Q800TA     ","       75""     ",       QLED     ,"     Resolução (Pixels)    7680 x 4320
     ","       - HDMI: 4  
- USB: 2 
- Entrada composto (AV): 1 
- Ethernet (LAN): Sim 
- Saída de Áudio Digital (Óptica): 1 
     ",Magazine Luiza,468.html,Smart TV 8K QLED 75” Samsung 75Q800TA - Wi-Fi Bluetooth +Smart TV Crystal UHD 4K LED 50” - Smart TV - Magazine Luiza
"     Marca     Samsung         Referência    QN75Q800TAGXZD

         Modelo    75Q800TA     ","       75""     ",       QLED     ,"     Resolução (Pixels)    7680 x 4320
     ","       - HDMI: 4  
- USB: 2 
- Entrada composto (AV): 1 
- Ethernet (LAN): Sim 
- Saída de Áudio Digital (Óptica): 1 
     ",Magazine Luiza,469.html,Smart TV 8K QLED 75” Samsung 75Q800TA - Wi-Fi Bluetooth +Smart TV Crystal UHD 4K LED 50” - Smart TV - Magazine Luiza
"     Marca    LG         Referência    75NANO95
         Modelo    75NANO95SNA     ","       75""     ",       LED     ,     Resolução (Pixels)    7680x4320         Formato da tela    16:9     ,"       - 4 entradas HDMI
- 3 Entradas USB
- 1 Entrada RF
- 1 Saída Óptica     ",Magazine Luiza,472.html,Combo Smart TV 8K NanoCell IPS 75” LG 75NANO95SNA - Wi-Fi Bluetooth + Smart TV UHD 4K LED 50” - Smart TV - Magazine Luiza
"     Marca    LG         Referência    75NANO95
         Modelo    75NANO95SNA     ","       75""     ",       LED     ,     Resolução (Pixels)    7680x4320         Formato da tela    16:9     ,"       - 4 entradas HDMI
- 3 Entradas USB
- 1 Entrada RF
- 1 Saída Óptica     ",Magazine Luiza,475.html,Combo Smart TV 8K NanoCell IPS 75” LG 75NANO95SNA - Wi-Fi Bluetooth + Smart TV UHD 4K LED 50” - Smart TV - Magazine Luiza
"     Marca     Samsung         Referência    QN55LS03TAGXZD
         Modelo    QN55LS03TAGXZD     ","       55""     ","       LED
     ",     Resolução (Pixels)    3840x2160         Formato da tela    16:9     ,"       - 4 Entradas HDMI
- 2 Entradas USB
- 1 Entrada de Vídeo Composto
- 1 Entrada RF
- 1 Saída de Áudio Óptica
- 1 Entrada LAN     ",Magazine Luiza,501.html,Smart TV 4K QLED 55” Samsung The Frame Wi-Fi - Bluetooth + Smart TV LED 32” Wi-Fi HDR - Smart TV - Magazine Luiza
     Marca    Samsung         Referência    QN55Q7FNAGXZD         Modelo    Q7FN     ,"       55""     ",       QLED     ,     Resolução (Pixels)    3840x2160         Contraste    Mega Contraste     ,"       - 04 Entradas HDMI
- 03 Entradas USB
- 01 Entrada de Componente (Y,Pb,Pr)
- Entrada de Composto (AV)
- Ethernet (LAN)
- Entrada de RF (terrestre/entrada de cabo)
- HDMI A / Return Ch. Support 
- HDMI Quick Switch 
     ",Magazine Luiza,502.html,Smart TV QLED 55” Samsung 4K/Ultra HD Q7FN - Tizen Modo Ambiente Linha 2018 - Smart TV - Magazine Luiza
"     Marca     Samsung         Referência    QN55LS03TAGXZD
         Modelo    QN55LS03TAGXZD     ","       55""     ","       LED
     ",     Resolução (Pixels)    3840x2160         Formato da tela    16:9     ,"       - 4 Entradas HDMI
- 2 Entradas USB
- 1 Entrada de Vídeo Composto
- 1 Entrada RF
- 1 Saída de Áudio Óptica
- 1 Entrada LAN     ",Magazine Luiza,508.html,Smart TV 4K QLED 55” Samsung The Frame Wi-Fi - Bluetooth + Smart TV LED 32” Wi-Fi HDR - Smart TV - Magazine Luiza
     Marca    Samsung         Referência    QN55Q7FNAGXZD         Modelo    Q7FN     ,"       55""     ",       QLED     ,     Resolução (Pixels)    3840x2160         Contraste    Mega Contraste     ,"       - 04 Entradas HDMI
- 03 Entradas USB
- 01 Entrada de Componente (Y,Pb,Pr)
- Entrada de Composto (AV)
- Ethernet (LAN)
- Entrada de RF (terrestre/entrada de cabo)
- HDMI A / Return Ch. Support 
- HDMI Quick Switch 
     ",Magazine Luiza,509.html,Smart TV QLED 55” Samsung 4K/Ultra HD Q7FN - Tizen Modo Ambiente Linha 2018 - Smart TV - Magazine Luiza
     Marca    Samsung         Referência    QN55Q6FNAGXZD         Modelo    Q6FN     ,"       55""     ",       QLED     ,     Resolução (Pixels)    3840x2160         Contraste    Mega Contraste     ,"       - 04 Entradas HDMI
- 02 Entradas USB
- 01 Entrada de Componente (Y,Pb,Pr)
- Entrada de Composto (AV)
- Ethernet (LAN)
- Entrada de RF (terrestre/entrada de cabo)
- HDMI A / Return Ch. Support
- HDMI Quick Switch
- Wi-Fi integrado
     ",Magazine Luiza,544.html,Smart TV QLED 55” Samsung 4K/Ultra HD Q6FN - Tizen Modo Ambiente Linha 2018 - Smart TV - Magazine Luiza
     Marca     Samsung         Referência    QN65Q6FNAGXZD         Modelo    Q6FN     ,"       65""     ",       QLED     ,     Resolução (Pixels)    3840x2160         Contraste    Mega Contraste     ,"       - 04 Entradas HDMI
- 02 Entradas USB
- 01 Entrada de Componente (Y,Pb,Pr)
- Entrada de Composto (AV)
- Ethernet (LAN)
- 01 Saída de Áudio Digital (Óptica)
- Entrada de RF (terrestre/entrada de cabo)
- HDMI A / Return Ch. Support
- HDMI Quick Switch
     ",Magazine Luiza,545.html,Smart TV QLED 65” Samsung 4K/Ultra HD Q6FN - Tizen Modo Ambiente Linha 2018 - Smart TV - Magazine Luiza
     Marca    Samsung         Referência    UN65KS9000GXZD         Modelo    65KS9000     ,"       65""     ",       LED     ,"     Resolução (Pixels)    3840x2160         Contraste    A Samsung utiliza o mais alto padrão de brilho e contraste, como as maiores produções cinematográficas. A tecnologia HDR 1000 é capaz de reproduzir uma gama muito superior de brilho e contraste, exibindo detalhes que estavam escondidos em cenas com muita ou pouca luminosidade. Independentemente da iluminação da sua sala, a TV vai garantir a melhor qualidade de imagem         Brilho    A Samsung utiliza o mais alto padrão de brilho e contraste, como as maiores produções cinematográficas. A tecnologia HDR 1000 é capaz de reproduzir uma gama muito superior de brilho e contraste, exibindo detalhes que estavam escondidos em cenas com muita ou pouca luminosidade. Independentemente da iluminação da sua sala, a TV vai garantir a melhor qualidade de imagem     ","       - 04 HDMI
- 03 USB
- 01 Rede     ",Magazine Luiza,547.html,Smart TV LED Curva 65” Samsung 4K Ultra HD  - SUHD 65KS9000 Conversosr Digital 4 HDMI 3 USB - Smart TV - Magazine Luiza
     Marca    Samsung         Referência    UN50KU6000GXZD         Modelo    50KU6000      ,"       50""     ",       LED      ,     Resolução (Pixels)    3840x2160     ,"       - 03 HDMI
- 02 USB
- 01 Rede     ",Magazine Luiza,549.html,Smart TV LED 50” Samsung 4K/Ultra HD 50KU6000 - Conversor Digital Wi-Fi 3 HDMI 2 USB - Smart TV - Magazine Luiza
     Marca    Samsung         Referência    QN49Q6FNAGXZD         Modelo    QN49Q6FNAGXZD     ,"       49""     ",       QLED     ,     Resolução (Pixels)    3840x2160         Formato da tela    16:9         Contraste    Mega Contraste     ,"       - 04 HDMI
- 02 USB
- 01 Entrada de Componente (Y,Pb,Pr)
- 01 Entrada de Composto (AV)
- Ethernet (LAN)
- Saída de Áudio Digital (Óptica)
- Entrada de RF (terrestre/entrada de cabo)
- HDMI A / Return Ch. Support
- HDMI Quick Switch
- Anynet+ (HDMI-CEC)     ",Magazine Luiza,581.html,Smart TV QLED 49” Samsung 4K/Ultra HD - QN49Q6FNAGXZD Tizen Modo Ambiente Linha 2018 - Smart TV - Magazine Luiza
     Marca    Samsung         Referência    QN65Q7FAMGXZD         Modelo    65Q7FAM     ,       65''     ,       QLED     ,     Resolução (Pixels)    3840x2160         Contraste    Mega Contraste     ,"       - 04 HDMI
- 03 USB
- 01 Componente (Y,Pb,Pr)
- 01 Composto (AV)
- 01 RF (terrestre/entrada de cabo)     ",Magazine Luiza,637.html,Smart TV QLED 65” Samsung 4K/Ultra HD 65Q7FAM - Conversor Digital Wi-Fi 4 HDMI 3 USB - Smart TV - Magazine Luiza
     Marca    LG         Referência    55SM9000PSA         Modelo    55SM9000PSA     ,       55''     ,       NanoCell     ,"     Formato da tela    Widescreen 16:9         Contraste    1600         Brilho    450 Cd/m²
     ","       - 04 entradas HDMI 2.1
- 03 entradas USB
- 01 entrada RF para TV aberta
- 01 entrada RF para TV por assinatura
- 01 entrada AV/vídeo componente
- 01 entrada LAN RJ45     ",Magazine Luiza,921.html,Smart TV 4K NanoCell 55” + Smart TV HD LED 32” LG - Wi-Fi Inteligência Artificial Controle Smart Magic - Smart TV - Magazine Luiza
